target_mode,lead_months,model,n_train,n_val,corr,rmse,mae,bias,truth_std,pred_std,amp_ratio,intercept,coef_x,coef_x2,coef_x3
benchmark,1,linear,192,323,0.7088931165600191,0.7271700290354317,0.6193655471369948,-0.3859764587491658,0.8723343461695341,0.667576627339683,0.7652761011543877,-0.24966225,-1.0064555,,
benchmark,1,quadratic,192,323,0.7294055815482832,0.8218819619868318,0.7030826005727144,-0.5533419883611033,0.8723343461695341,0.7560418942293908,0.8666882114056502,-0.22477826,-1.3717726,-0.29182764887809753,
benchmark,1,cubic,192,323,0.7325798107898964,0.8095626388298977,0.6940039427518476,-0.5420881022286859,0.8723343461695341,0.7394458019089202,0.8476632900628819,-0.23315918,-1.3592248,-0.2374943196773529,0.021078171208500862
benchmark,3,linear,192,321,0.6752748354079179,0.7402766806584011,0.6288902182835284,-0.36391490870732757,0.874876384236484,0.61289236474267,0.7005473867917341,-0.23846014,-0.92166644,,
benchmark,3,quadratic,192,321,0.6870110032600732,0.827503702026198,0.7085853272797162,-0.5222945036797136,0.874876384236484,0.6964975639759268,0.7961096864944747,-0.21507888,-1.2649223,-0.2742043137550354,
benchmark,3,cubic,192,321,0.6777958920361074,0.8598135863360977,0.7304899351089914,-0.5518598248162001,0.874876384236484,0.7423673287360711,0.8485396818476759,-0.19327436,-1.297567,-0.41556215286254883,-0.05483894422650337
benchmark,6,linear,192,318,0.4198184156318312,0.8220727986626056,0.6809034186667242,-0.20781676689877449,0.877715474004162,0.36615870096457565,0.4171724343586534,-0.14525895,-0.54807305,,
benchmark,6,quadratic,192,318,0.3978522475870636,0.8836232526030192,0.7298554496991935,-0.35126513962756917,0.877715474004162,0.4542420998223311,0.5175277333895758,-0.12422989,-0.85679686,-0.24661898612976074,
benchmark,6,cubic,192,318,0.37828753413913013,0.9471808131339293,0.7822567295381482,-0.4232228791310727,0.877715474004162,0.5772994158296676,0.6577295637685545,-0.07185173,-0.935215,-0.5861842036247253,-0.1317322552204132
benchmark,9,linear,192,315,0.10176461052096843,0.8699531031629623,0.7066167419120551,0.01257251124503831,0.8744280335197846,0.04036307869525403,0.04615940608946727,-0.012857428,-0.060195852,,
benchmark,9,quadratic,192,315,0.07393842941913858,0.8879582679084872,0.7099247652790731,-0.11767228315421749,0.8744280335197846,0.19367245644053172,0.22148472946476017,0.0062573156,-0.34081587,-0.22416874766349792,
benchmark,9,cubic,192,315,0.08568750339341133,0.9212198514854891,0.7342692093402148,-0.18638577452136412,0.8744280335197846,0.3146944606412472,0.3598860610341205,0.056240868,-0.41564912,-0.5482102036476135,-0.1257099211215973
