target_mode,lead_months,model,n_train,n_val,corr,rmse,mae,bias,truth_std,pred_std,amp_ratio,intercept,coef_x,coef_x2,coef_x3
boxmean,1,linear,192,323,0.7587610506507532,0.7920859397117077,0.6624545444586263,-0.48592968305717754,0.9605233383129297,0.7611061061733396,0.7923868955752309,-0.30569986,-1.147463,,
boxmean,1,quadratic,192,323,0.7629219099614513,0.8487682696997556,0.7152191036290362,-0.5758434337761683,0.9605233383129297,0.7992607837069717,0.8321096966897226,-0.29233137,-1.3437222,-0.15677866339683533,
boxmean,1,cubic,192,323,0.7650169263468154,0.8411378669125047,0.7089716452781195,-0.5684371064909036,0.9605233383129297,0.7890042616777551,0.8214316406549454,-0.2978472,-1.3354644,-0.1210203692317009,0.013872135430574417
boxmean,3,linear,192,321,0.6363840109565453,0.8463866710041079,0.6939904007270448,-0.40721243436428695,0.9632843973178855,0.625022907832381,0.6488456675646977,-0.2567676,-0.9399083,,
boxmean,3,quadratic,192,321,0.6282912900895127,0.9064462663304496,0.7499400521050109,-0.5074702514514307,0.9632843973178855,0.6704913860631432,0.6960471776871102,-0.2419667,-1.1571969,-0.17357754707336426,
boxmean,3,cubic,192,321,0.6149251204383638,0.9413973988034813,0.7776257632130893,-0.5422391455573018,0.9632843973178855,0.7227911327250964,0.7503403301637555,-0.2163246,-1.1955873,-0.33981460332870483,-0.06449071317911148
boxmean,6,linear,192,318,0.30537554646003345,0.9354687659025381,0.7331349205376899,-0.18480086498677806,0.9645198458877119,0.28685781628450047,0.29740996777571344,-0.121699154,-0.42937404,,
boxmean,6,quadratic,192,318,0.2855977207326443,0.9621902111988112,0.7535488895777944,-0.2664157929202416,0.9645198458877119,0.33124559629286027,0.3434305656904269,-0.10973467,-0.60502243,-0.14031384885311127,
boxmean,6,cubic,192,318,0.24588360294009798,1.0442065938753844,0.8205498743016323,-0.37199214254172797,0.9645198458877119,0.5216565867677221,0.5408458820125228,-0.032885637,-0.7200776,-0.6385231018066406,-0.19327722489833832
boxmean,9,linear,192,315,0.0025445181633847068,0.955324979829063,0.7471345212973936,0.08292773293963235,0.9488805227872253,0.09343644791791028,0.09847019268922463,0.037804186,0.13934731,,
boxmean,9,quadratic,192,315,0.030007156070564235,0.9526778211160998,0.7355000527666158,-0.002407910094027304,0.9488805227872253,0.1329534496055395,0.14011611200006965,0.05032806,-0.04451333,-0.1468740850687027,
boxmean,9,cubic,192,315,0.043442478488330896,0.9671511100365843,0.7440713207268836,-0.07691969543802626,0.9488805227872253,0.22493261509804688,0.23705051341694072,0.10452937,-0.12566128,-0.49825921654701233,-0.13631771504878998
