target_mode,lead_months,model_compared_to_linear,linear_corr,quadratic_corr,delta_corr,linear_rmse,quadratic_rmse,delta_rmse,linear_mae,quadratic_mae,delta_mae,linear_bias,quadratic_bias,delta_bias,linear_amp_ratio,quadratic_amp_ratio,delta_amp_ratio,cubic_corr,cubic_rmse,cubic_mae,cubic_bias,cubic_amp_ratio
benchmark,1,quadratic,0.7088931165600191,0.7294055815482832,0.02051246498826409,0.7271700290354317,0.8218819619868318,0.09471193295140012,0.6193655471369948,0.7030826005727144,0.08371705343571967,-0.3859764587491658,-0.5533419883611033,-0.16736552961193746,0.7652761011543877,0.8666882114056502,0.10141211025126251,,,,,
benchmark,1,cubic,0.7088931165600191,,0.023686694229877348,0.7271700290354317,,0.08239260979446594,0.6193655471369948,,0.07463839561485286,-0.3859764587491658,,-0.15611164347952006,0.7652761011543877,,0.08238718890849417,0.7325798107898964,0.8095626388298977,0.6940039427518476,-0.5420881022286859,0.8476632900628819
benchmark,3,quadratic,0.6752748354079179,0.6870110032600732,0.011736167852155366,0.7402766806584011,0.827503702026198,0.08722702136779692,0.6288902182835284,0.7085853272797162,0.07969510899618781,-0.36391490870732757,-0.5222945036797136,-0.15837959497238607,0.7005473867917341,0.7961096864944747,0.09556229970274055,,,,,
benchmark,3,cubic,0.6752748354079179,,0.0025210566281894664,0.7402766806584011,,0.11953690567769659,0.6288902182835284,,0.10159971682546298,-0.36391490870732757,,-0.18794491610887254,0.7005473867917341,,0.1479922950559418,0.6777958920361074,0.8598135863360977,0.7304899351089914,-0.5518598248162001,0.8485396818476759
benchmark,6,quadratic,0.4198184156318312,0.3978522475870636,-0.021966168044767587,0.8220727986626056,0.8836232526030192,0.061550453940413585,0.6809034186667242,0.7298554496991935,0.048952031032469256,-0.20781676689877449,-0.35126513962756917,-0.14344837272879468,0.4171724343586534,0.5175277333895758,0.10035529903092238,,,,,
benchmark,6,cubic,0.4198184156318312,,-0.041530881492701066,0.8220727986626056,,0.1251080144713237,0.6809034186667242,,0.10135331087142396,-0.20781676689877449,,-0.21540611223229822,0.4171724343586534,,0.2405571294099011,0.37828753413913013,0.9471808131339293,0.7822567295381482,-0.4232228791310727,0.6577295637685545
benchmark,9,quadratic,0.10176461052096843,0.07393842941913858,-0.02782618110182984,0.8699531031629623,0.8879582679084872,0.018005164745524938,0.7066167419120551,0.7099247652790731,0.003308023367017965,0.01257251124503831,-0.11767228315421749,-0.1302447943992558,0.04615940608946727,0.22148472946476017,0.17532532337529289,,,,,
benchmark,9,cubic,0.10176461052096843,,-0.016077107127557097,0.8699531031629623,,0.05126674832252687,0.7066167419120551,,0.027652467428159633,0.01257251124503831,,-0.19895828576640243,0.04615940608946727,,0.31372665494465324,0.08568750339341133,0.9212198514854891,0.7342692093402148,-0.18638577452136412,0.3598860610341205
