lead_months,cubic_corr,linear_corr,quadratic_corr,cubic_rmse,linear_rmse,quadratic_rmse,cubic_mae,linear_mae,quadratic_mae,cubic_bias,linear_bias,quadratic_bias,cubic_amp_ratio,linear_amp_ratio,quadratic_amp_ratio,quadratic_minus_linear_corr,cubic_minus_linear_corr,quadratic_minus_linear_rmse,cubic_minus_linear_rmse,quadratic_minus_linear_mae,cubic_minus_linear_mae,quadratic_minus_linear_bias,cubic_minus_linear_bias,quadratic_minus_linear_amp_ratio,cubic_minus_linear_amp_ratio,best_model_by_rmse
1,0.765,0.7588,0.7629,0.8411,0.7921,0.8488,0.709,0.6625,0.7152,-0.5684,-0.4859,-0.5758,0.8214,0.7924,0.8321,0.0042,0.0063,0.0567,0.0491,0.0528,0.0465,-0.0899,-0.0825,0.0397,0.029,linear
3,0.6149,0.6364,0.6283,0.9414,0.8464,0.9064,0.7776,0.694,0.7499,-0.5422,-0.4072,-0.5075,0.7503,0.6488,0.696,-0.0081,-0.0215,0.0601,0.095,0.0559,0.0836,-0.1003,-0.135,0.0472,0.1015,linear
6,0.2459,0.3054,0.2856,1.0442,0.9355,0.9622,0.8205,0.7331,0.7535,-0.372,-0.1848,-0.2664,0.5408,0.2974,0.3434,-0.0198,-0.0595,0.0267,0.1087,0.0204,0.0874,-0.0816,-0.1872,0.046,0.2434,linear
9,0.0434,0.0025,0.03,0.9672,0.9553,0.9527,0.7441,0.7471,0.7355,-0.0769,0.0829,-0.0024,0.2371,0.0985,0.1401,0.0275,0.0409,-0.0026,0.0118,-0.0116,-0.0031,-0.0853,-0.1598,0.0416,0.1386,quadratic
